latitude,longitude,name
41.152649,20.17001,Albania
28.02688,1.65284,Algeria
-11.94184,17.907209,Angola
17.08602,-61.789421,Antigua and Barbuda
-37.090698,-63.584808,Argentina
40.06617,45.03989,Armenia
-24.9121,133.397552,Australia
47.69651,13.34577,Austria
40.15134,47.687069,Azerbaijan
24.741421,-78.080017,Bahamas
23.68745,90.350899,Bangladesh
13.18355,-59.534649,Barbados
53.711048,27.973749,Belarus
50.501011,4.47684,Belgium
49.963772,5.50136,Belgium-Luxembourg
17.192921,-88.65284,Belize
9.32204,2.31313,Benin
32.303101,-64.785469,Bermuda
-16.288349,-63.549419,Bolivia (Plurinational State of)
43.920101,17.67696,Bosnia and Herzegovina
-22.34403,24.680161,Botswana
-14.24292,-54.387829,Brazil
4.52513,114.598969,Brunei Darussalam
42.731602,25.48312,Bulgaria
12.24184,-1.55676,Burkina Faso
-3.38791,29.920389,Burundi
12.54773,104.983856,Cambodia
7.36529,12.34344,Cameroon
56.954681,-98.308968,Canada
15.1123,-23.614759,Cape Verde
6.61404,20.941759,Central African Republic
15.4603,18.73877,Chad
-35.705219,-71.341087,Chile
36.894451,104.165649,China
4.11641,-72.958527,Colombia
-11.65158,43.35997,Comoros
-0.66262,14.92741,Congo
9.62489,-84.253311,Costa Rica
44.746712,15.3408,Croatia
21.511021,-77.806793,Cuba
35.132519,33.435501,Cyprus
49.803791,15.47527,Czechoslovakia
49.803879,15.47491,Czech Republic
36.448151,127.850166,Democratic People s Republic of Korea
-4.03479,21.756269,Democratic Republic of the Congo
56.276089,9.51695,Denmark
11.595,43.14806,Djibouti
15.41674,-61.364128,Dominica
18.7679,-70.161743,Dominican Republic
-1.78156,-78.106667,Ecuador
26.69636,30.246469,Egypt
13.79687,-88.918793,El Salvador
15.18132,39.950859,Eritrea
58.592319,25.80695,Estonia
9.1473,40.49305,Ethiopia
9.1473,40.49305,Ethiopia PDR
-17.790991,177.973404,Fiji
64.950142,26.06739,Finland
46.71067,1.71819,France
-17.69017,-149.376007,French Polynesia
-0.82809,11.59891,Gabon
13.44541,-15.31143,Gambia
32.67828,-83.222954,Georgia
51.164181,10.45415,Germany
7.95501,-1.03182,Ghana
39.072449,21.84556,Greece
12.11267,-61.69894,Grenada
15.77625,-90.232307,Guatemala
9.93488,-9.66063,Guinea
11.80252,-15.17702,Guinea-Bissau
4.86632,-58.938259,Guyana
18.986059,-72.292259,Haiti
14.50472,-86.253098,Honduras
47.16116,19.504959,Hungary
64.963943,-19.02116,Iceland
21.7866,82.794762,India
0.10974,113.917397,Indonesia
32.42065,53.682362,Iran (Islamic Republic of)
53.419609,-8.24055,Ireland
31.389299,35.36124,Israel
42.503819,12.57347,Italy
18.115259,-77.273483,Jamaica
37.487598,139.838287,Japan
31.278749,37.139351,Jordan
47.999249,66.90229,Kazakhstan
-0.02435,37.90395,Kenya
-8.0455,159.161377,Kiribati
29.31015,47.49445,Kuwait
41.20554,74.7799,Kyrgyzstan
18.20521,105.45118,Lao People s Democratic Republic
56.880112,24.60524,Latvia
33.872452,35.876549,Lebanon
-29.62051,28.247419,Lesotho
6.45242,-9.42859,Liberia
26.33852,17.26882,Libyan Arab Jamahiriya
55.173962,23.89439,Lithuania
49.609531,6.12997,Luxembourg
-18.77718,46.854321,Madagascar
-13.24707,34.294708,Malawi
3.94515,114.401657,Malaysia
6.75785,73.154762,Maldives
17.57975,-3.99883,Mali
35.902088,14.44812,Malta
21.006809,-10.95086,Mauritania
-20.255409,57.551739,Mauritius
23.62574,-101.956253,Mexico
46.860802,103.836807,Mongolia
42.697552,19.43227,Montenegro
31.815411,-7.067,Morocco
-18.67028,35.530151,Mozambique
19.257959,96.682999,Myanmar
-22.96566,18.48617,Namibia
28.394751,84.127769,Nepal
52.1082,5.32986,Netherlands
12.20921,-69.039413,Netherlands Antilles
-21.242041,165.506744,New Caledonia
-43.586781,170.370987,New Zealand
12.86672,-85.424049,Nicaragua
17.610991,8.08094,Niger
9.08457,8.67425,Nigeria
64.556534,12.66617,Norway
31.94775,35.229649,Occupied Palestinian Territory
30.441851,69.359703,Pakistan
8.4177,-80.112778,Panama
-23.451389,-58.453209,Paraguay
-9.18134,-75.002357,Peru
15.59305,120.739067,Philippines
51.918919,19.1343,Poland
39.557919,-7.84481,Portugal
36.448151,127.850166,Republic of Korea
46.979328,28.39131,Republic of Moldova
45.946949,24.9804,Romania
59.461479,108.831779,Russian Federation
-1.94707,29.876381,Rwanda
17.3181,-62.746368,Saint Kitts and Nevis
13.904,-60.974178,Saint Lucia
13.24814,-61.19632,Saint Vincent and the Grenadines
-13.61712,-172.482437,Samoa
0.22032,6.61935,Sao Tome and Principe
23.917549,45.120209,Saudi Arabia
14.49945,-14.44555,Senegal
44.049809,20.910789,Serbia
44.020561,20.731039,Serbia and Montenegro
-4.68444,55.48732,Seychelles
8.46502,-11.79593,Sierra Leone
48.665501,19.70174,Slovakia
46.146938,14.95505,Slovenia
-9.59581,160.209015,Solomon Islands
-28.47933,24.67993,South Africa
39.89489,-2.98831,Spain
7.87395,80.789711,Sri Lanka
13.31664,30.20949,Sudan
3.91784,-56.032028,Suriname
-26.51837,31.465679,Swaziland
62.198448,17.55142,Sweden
46.813202,8.22395,Switzerland
34.8148,39.056,Syrian Arab Republic
38.858189,71.262177,Tajikistan
13.03659,101.4925,Thailand
41.60281,21.751289,The former Yugoslav Republic of Macedonia
-8.89403,126.119553,Timor-Leste
8.62169,0.82969,Togo
10.43443,-61.418079,Trinidad and Tobago
33.795021,9.56154,Tunisia
38.957741,35.431702,Turkey
38.968319,59.56287,Turkmenistan
1.37777,32.287399,Uganda
48.382881,31.173441,Ukraine
24.287849,55.115898,United Arab Emirates
54.314072,-2.23001,United Kingdom
-6.36821,34.885189,United Republic of Tanzania
39.83,-98.58,United States of America
-32.531509,-55.758331,Uruguay
44.957489,55.794559,USSR
41.39476,64.564453,Uzbekistan
-15.14676,167.03804,Vanuatu
6.47279,-66.589043,Venezuela (Bolivarian Republic of)
15.97421,107.868042,Viet Nam
15.79666,47.850681,Yemen
34.30146,-118.431122,Yugoslav SFR
-13.15192,27.852539,Zambia
-19.013281,29.14666,Zimbabwe
